config,alpha,RMSE_mm,BCRLB_tau,BCRLB_fD,sigma2_pn,sigma2_dse,sigma2_gamma,N0,G_sig_avg,method
AWGN,0.05,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.06315789473684211,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.07631578947368421,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.08947368421052632,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.10263157894736842,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.11578947368421053,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.12894736842105264,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.14210526315789473,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.15526315789473683,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.16842105263157894,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.18157894736842106,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.19473684210526315,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.20789473684210524,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.22105263157894733,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.23421052631578948,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.24736842105263157,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.26052631578947366,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.27368421052631575,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.2868421052631579,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
AWGN,0.3,0.0043607381607385365,8.463277990007456e-28,9747.41556999272,0.0,0.0,0.11673738743755645,4.0038821e-21,3906.1818226027535,unknown
