config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,SNR_eff,P_sig_total
Full,0.08947368421052632,1.3079192254828418e+20,7.613431291898312e+17,1.2661386918778057e-20,4.8966089353745395e+28,0.0,1.2156221476343472e-19,4.8966089353745395e+28,2.5857459899050718e-47,2.5322773837556116e-08
Full,0.10263157894736842,1.1402372752068472e+20,5.786408020918254e+17,1.2661386918778057e-20,3.7215515754508842e+28,0.0,1.2156221476343472e-19,3.7215515754508842e+28,3.402179618387814e-47,2.5322773837556116e-08
Full,0.11578947368421053,1.0106648585980954e+20,4.5460364760989824e+17,1.2661386918778057e-20,2.923801631084868e+28,0.0,1.2156221476343472e-19,2.923801631084868e+28,4.3304534699503835e-47,2.5322773837556116e-08
Full,0.12894736842105264,9.075357920496833e+19,3.6656087590341536e+17,1.2661386918778057e-20,2.357551006229472e+28,0.0,1.2156221476343472e-19,2.357551006229472e+28,5.370567544592782e-47,2.5322773837556116e-08
Full,0.14210526315789473,8.235047006305832e+19,3.018219012273428e+17,1.2661386918778057e-20,1.9411796886040349e+28,0.0,1.2156221476343472e-19,1.9411796886040349e+28,6.522521842315005e-47,2.5322773837556116e-08
Full,0.15526315789473683,7.537161669817408e+19,2.5283328488547178e+17,1.2661386918778057e-20,1.6261074336452197e+28,0.0,1.2156221476343472e-19,1.6261074336452197e+28,7.786316363117057e-47,2.5322773837556116e-08
Full,0.16842105263157894,6.948320916526777e+19,2.148712561607663e+17,1.2661386918778057e-20,1.3819531201280754e+28,0.0,1.2156221476343472e-19,1.3819531201280754e+28,9.161951106998939e-47,2.5322773837556116e-08
Full,0.18157894736842106,6.44481940242319e+19,1.8485878295901674e+17,1.2661386918778057e-20,1.1889266924662671e+28,0.0,1.2156221476343472e-19,1.1889266924662671e+28,1.0649426073960649e-46,2.5322773837556116e-08
Full,0.19473684210526315,6.009358633179089e+19,1.6072181629226013e+17,1.2661386918778057e-20,1.0336888212332968e+28,0.0,1.2156221476343472e-19,1.0336888212332968e+28,1.2248741264002182e-46,2.5322773837556116e-08
Full,0.20789473684210524,5.629019480090146e+19,1.4102109698780566e+17,1.2661386918778057e-20,9.069828532131338e+27,0.0,1.2156221476343472e-19,9.069828532131338e+27,1.3959896677123544e-46,2.5322773837556116e-08
Full,0.22105263157894733,5.293958797458843e+19,1.2473252076758818e+17,1.2661386918778057e-20,8.022222205804865e+27,0.0,1.2156221476343472e-19,8.022222205804865e+27,1.5782892313324733e-46,2.5322773837556116e-08
Full,0.23421052631578948,4.996545382429588e+19,1.1111130750319304e+17,1.2661386918778057e-20,7.146168400051675e+27,0.0,1.2156221476343472e-19,7.146168400051675e+27,1.771772817260576e-46,2.5322773837556116e-08
Full,0.24736842105263157,4.730771692321359e+19,9.96053267201153e+16,1.2661386918778057e-20,6.406156621491071e+27,0.0,1.2156221476343472e-19,6.406156621491071e+27,1.97644042549666e-46,2.5322773837556116e-08
Full,0.26052631578947366,4.491843829434183e+19,8.979825191720773e+16,1.2661386918778057e-20,5.775410663871348e+27,0.0,1.2156221476343472e-19,5.775410663871348e+27,2.1922920560407272e-46,2.5322773837556116e-08
Full,0.27368421052631575,4.275889799468518e+19,8.13713634580471e+16,1.2661386918778057e-20,5.233431945675782e+27,0.0,1.2156221476343472e-19,5.233431945675782e+27,2.4193277088927768e-46,2.5322773837556116e-08
Full,0.2868421052631579,4.079748065792061e+19,7.407732238595768e+16,1.2661386918778057e-20,4.76431276249502e+27,0.0,1.2156221476343472e-19,4.76431276249502e+27,2.6575473840528103e-46,2.5322773837556116e-08
Full,0.3,3.900811747320349e+19,6.7721811892839096e+16,1.2661386918778057e-20,4.35555555071605e+27,0.0,1.2156221476343472e-19,4.35555555071605e+27,2.906951081520826e-46,2.5322773837556116e-08
