config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,E_sig_target,E_sig_actual,A_scale
Full,0.08947368421052632,3964.229726186608,6.994170467676783e-16,4.0038821e-21,3.622661833453878e-13,3.5328608433623206e-14,4.6219772958802394e-11,4.6617367754585286e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.10263157894736842,3961.5083502050556,6.984571006667845e-16,4.0038821e-21,3.1582180086520986e-13,1.779090666697575e-14,4.6219772958802394e-11,4.655338567033846e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.11578947368421053,3959.6380723122575,6.97797755590833e-16,4.0038821e-21,2.7993295985779963e-13,9.733246763590987e-15,4.6219772958802394e-11,4.650943916942767e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.12894736842105264,3958.249456305481,6.973084163081356e-16,4.0038821e-21,2.5136837211720785e-13,5.682516642410839e-15,4.6219772958802394e-11,4.6476823851565896e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.14210526315789473,3957.165078705478,6.969264080184668e-16,4.0038821e-21,2.2809352284709596e-13,3.4958461982323083e-15,4.6219772958802394e-11,4.6451362331851604e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.15526315789473683,3956.288357875493,6.966176302943831e-16,4.0038821e-21,2.0876356328378278e-13,2.245231146510027e-15,4.6219772958802394e-11,4.6430781757236566e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.16842105263157894,3955.5614662255093,6.963616737131415e-16,4.0038821e-21,1.9245390990223726e-13,1.4949313397627751e-15,4.6219772958802394e-11,4.6413721804048275e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.18157894736842106,3954.94718538249,6.961454068570196e-16,4.0038821e-21,1.7850797440207512e-13,1.0263031521317966e-15,4.6219772958802394e-11,4.6399307240360485e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.19473684210526315,3954.420201974424,6.959599011495676e-16,4.0038821e-21,1.664466247803133e-13,7.233733717379146e-16,4.6219772958802394e-11,4.638694296095832e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.20789473684210524,3953.9625479043584,6.957988204175178e-16,4.0038821e-21,1.5591202827523021e-13,5.216577453807166e-16,4.6219772958802394e-11,4.637620664882689e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.22105263157894733,3953.5610320086344,6.956575140200354e-16,4.0038821e-21,1.4663155040170457e-13,3.8381742384017766e-16,4.6219772958802394e-11,4.636678833063182e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.23421052631578948,3953.205704282717,6.955324746985279e-16,4.0038821e-21,1.38393822851047e-13,2.8745580489819134e-16,4.6219772958802394e-11,4.635845424146222e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.24736842105263157,3952.888891077312,6.954209980592718e-16,4.0038821e-21,1.3103244929514028e-13,2.1871665156738718e-16,4.6219772958802394e-11,4.6351024128752986e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.26052631578947366,3952.6045636507297,6.953209597546021e-16,4.0038821e-21,1.244146488256887e-13,1.687893899289941e-16,4.6219772958802394e-11,4.63443564010219e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.27368421052631575,3952.347910508922,6.952306646025369e-16,4.0038821e-21,1.1843317532445367e-13,1.3193329834213584e-16,4.6219772958802394e-11,4.633833807142908e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.2868421052631579,3952.115039286802,6.951487414274225e-16,4.0038821e-21,1.1300046086002921e-13,1.04325056060626e-16,4.6219772958802394e-11,4.6332877748722367e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
Full,0.3,3951.9027637651534,6.950740679438328e-16,4.0038821e-21,1.0804430029599285e-13,8.336751566048838e-17,4.6219772958802394e-11,4.632790063061793e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
